	Master	IT	Mod	1	2	3	4	5	6	7	8	9	10	11	12	13	14
16994	P67809	86.0	N-Term(TMTpro); R1(Label:13C(6)15N(4)); R27(Label:13C(6)15N(4)); R30(Label:13C(6)15N(4))	0.0	505.1930135634936	501.40882060128143	317.45270199136274	402.09270216870704	498.3730672942348	605.103101650411	515.328309350665	460.73302800087714	455.8261340111898	416.6848472968367	438.158480030152	448.9995782143415	2400.4260452462368
16995	P47914	9.513	N-Term(TMTpro); K15(TMTproK8)	0.0	1823.1412520401	3676.4509444230443	1521.3398088084978	1486.3456246486812	2262.7547070067567	2022.319325816181	2770.736038499208	2702.0301632296596	2347.0350290709584	2897.224723643846	3470.115968375346	2500.1301719367493	21192.48707614601
16996	P61978	33.158	N-Term(TMTpro); R1(Label:13C(6)15N(4)); K13(TMTproK8)	0.0	1475.4025570891692	1960.3813221577368	918.4821244034404	1181.0772773482781	1855.112931653093	1627.308436296015	1764.2024304723748	1578.3792108382902	1096.0581345490411	1662.9128434670731	1721.148530560704	1546.4351741365206	26786.11953261947
16998	P21333	53.852	N-Term(TMTpro); K17(TMTproK8); K19(TMTproK8)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20162.827570036454
16999	P07737	51.06100000000001	N-Term(TMTpro); K14(TMTproK8)	0.0	1769.2938454933405	2092.210595330841	1286.358780039286	1201.1930995384723	2045.0105918096792	1752.4750539385145	1602.7247722128182	1848.1804398722834	1266.0010355809864	1644.437776249009	1442.583697160313	1671.4518102955062	41694.00509917809
17000	P60709; P68133	32.088	N-Term(TMTpro); R16(Label:13C(6)15N(4))	0.0	5303.90621795786	5918.044524230399	3658.133858833663	3644.419880949987	5397.392288873275	5487.8607426858525	5624.640705425039	5424.038357927137	4333.240515134371	4527.533936663046	4595.292432984599	5462.858875875412	89653.9720299174
17001	P08865	86.0	N-Term(TMTpro); C8(Carbamidomethyl); K11(TMTproK8)	0.0	489.18850560273006	742.0236083092551	260.1107488711224	333.60119335435604	415.0181795731751	510.57610872658154	570.8307520135114	606.5824869514803	353.89620096053363	431.5390929182345	711.8689643179231	458.6535111267792	9637.205678563332
17002	P08195	28.15	N-Term(TMTpro); K16(TMTproK8)	0.0	1624.5918900033196	1451.0525960949947	1055.190789562125	1235.2676972240722	1363.4032425256112	1467.279296474566	1311.9813617556986	1552.2886244038752	1187.3591492726239	1000.6708974713517	1647.0960353282896	1118.3627501870913	22985.29625677208
17003	Q05639; P68104	9.946	N-Term(TMTpro); K9(TMTproK8)	0.0	5554.744748041753	5507.926557542558	1614.9872894902476	2219.289901719654	5166.736709337451	4084.791802964226	5824.734796343492	5480.411419271979	2638.9979672149084	3488.2004102187866	5530.684898554369	4971.952304543006	76503.27644668316
17004	Q96AG4	86.0	N-Term(TMTpro); C5(Carbamidomethyl); K9(TMTproK8)	0.0	400.0759906050697	570.8511357228507	393.1983300940682	355.00673987190123	501.34596657327813	558.4870746203977	541.6153859446407	424.8942060220435	513.5486424653312	471.2035750586407	643.8681366036452	533.5340556427083	8078.357993797408
17006	P60709; P68133	5.172999999999999	N-Term(TMTpro); R16(Label:13C(6)15N(4))	0.0	3563.654651130005	3389.1338328211614	2229.8376664605703	2625.674805971458	3434.09634361987	3805.2057096300186	3674.1887333612085	2988.9516891792455	2057.5035480147344	2505.935201464051	3562.033546433646	2501.7933227882595	51337.90380536928
17007	O43707	43.562	N-Term(TMTpro); K14(TMTproK8)	0.0	2029.999910891918	2162.3161514689727	1553.046051055662	1389.0569958594763	1862.3013968483372	2059.7834276476488	1840.2523777180502	1809.2619640046803	1299.5265332067077	1561.3025725484615	1667.8157679684116	1772.9147430084115	29040.388961538556
17008	P35241; P26038; P15311	13.52	N-Term(TMTpro); K8(TMTproK8)	0.0	2507.2956907370567	2968.884544406855	1732.4120571205858	1556.5502198930235	2522.8070924064955	2340.138016123569	2881.5141506028863	2602.09039963273	2478.0105169897206	2202.9221197829515	3324.051476988659	3100.553619783282	76305.30642666438
17009	P08238	86.0	N-Term(TMTpro); K15(TMTproK8)	0.0	97.38865790374155	238.36537583383404	113.44133176864273	2.4879866927830108	282.353809066636	187.43398852882103	164.37427537888186	173.2867513943612	95.67320068025754	136.4054745709999	360.3818672243632	90.44530122576873	6952.207689003228
17010		77.803	N-Term(TMTpro); R11(Label:13C(6)15N(4))														
